0xBTC/USD,["Synthetic"],0xBitcoin,US Dollar
1INCH/USD,["Binance",,
1ST/USD,["Synthetic"],FirstBlood,US Dollar
2GIVE/USD,["Synthetic"],2GIVE,US Dollar
300/USD,["Synthetic"],300 Token,US Dollar
611/USD,["Synthetic"],SixEleven,US Dollar
808/USD,["Synthetic"],808Coin,US Dollar
888/USD,["Synthetic"],OctoCoin,US Dollar
8BIT/USD,["Synthetic"],8Bit,US Dollar
999/USD,["Synthetic"],999,US Dollar
AAC/USD,["OKEx"],Acute Angle Cloud,US Dollar
AAVE/USD,["Binance",,
ABBC/USD,["BitForex",,
ABN/USD,["Synthetic"],Abncoin,US Dollar
ABT/USD,["OKEx"],Arcblock,US Dollar
ABY/USD,["Synthetic"],ArtByte,US Dollar
ACAT/USD,["Synthetic"],Alphacat,US Dollar
ACA/USD,["Binance",,
ACC/USD,["Synthetic"],AdCoin,US Dollar
ACES/USD,["Synthetic"],Aces,US Dollar
ACH/USD,["Coinbase Pro",,
ACN/USD,["Synthetic"],Avoncoin,US Dollar
ACOIN/USD,["Synthetic"],Acoin,US Dollar
ACP/USD,["Synthetic"],AnarchistsPrime,US Dollar
ACT/USD,["OKEx"],Achain,US Dollar
AC/USD,["Synthetic"],AsiaCoin,US Dollar
ADA/USD,["Binance",,
ADCN/USD,["Synthetic"],Asiadigicoin,US Dollar
ADC/USD,["Synthetic"],AudioCoin,US Dollar
Adelphoi/USD,["Kraken"],Adelphoi,US Dollar
ADS/USD,["Synthetic"],Adshares,US Dollar
ADT/USD,["Synthetic"],adToken,US Dollar
ADX/USD,["Synthetic"],AdEx,US Dollar
ADZ/USD,["Synthetic"],Adzcoin,US Dollar
AEON/USD,["Synthetic"],AEON,US Dollar
AERM/USD,["Synthetic"],Aerium,US Dollar
AE/USD,["DragonEX",,
AGI/USD,["Synthetic"],SingularityNET,US Dollar
AGRS/USD,["Synthetic"],Agoras Tokens,US Dollar
AGVC/USD,["Synthetic"],AgaveCoin,US Dollar
AIB/USD,["Synthetic"],Advanced Internet Blocks,US Dollar
AIDOC/USD,["Synthetic"],AI Doctor,US Dollar
Aidos Kuneen/USD,["Kraken"],Aidos Kuneen,US Dollar
AION/USD,["Binance",,
AIR/USD,["Synthetic"],AirToken,US Dollar
AI/USD,["Synthetic"],POLY AI,US Dollar
AIX/USD,["Synthetic"],Aigang,US Dollar
AKT/USD,["Bittrex",,
AKY/USD,["Synthetic"],Akuya Coin,US Dollar
ALGO/USD,["Binance",,
ALICE/USD,["Binance"],MyNeighborAlice,US Dollar
ALIS/USD,["Synthetic"],ALIS,US Dollar
ALPHA/USD,["Binance",,
ALPINE/USD,["Binance"],Alpine F1 Team Fan Token,US Dollar
ALQO/USD,["Synthetic"],ALQO,US Dollar
ALTCOM/USD,["Synthetic"],AltCommunity Coin,US Dollar
ALTC/USD,["Synthetic"],Antilitecoin,US Dollar
AMBER/USD,["Synthetic"],AmberCoin,US Dollar
AMB/USD,["HitBTC",,
AMMO/USD,["Synthetic"],Ammo Reloaded,US Dollar
AMM/USD,["Synthetic"],MicroMoney,US Dollar
AMPL/USD,["Gate.io",,
AMPt/USD,["Coinbase Pro"],Amp,US Dollar
AMP/USD,["Synthetic"],Synereo,US Dollar
AMS/USD,["Synthetic"],AmsterdamCoin,US Dollar
ANCp/USD,["Binance",,
ANI/USD,["Synthetic"],Animecoin,US Dollar
ANKR/USD,["Binance"],Ankr,US Dollar
Anoncoin/USD,["Kraken"],Anoncoin,US Dollar
ANTI/USD,["Synthetic"],AntiBitcoin,US Dollar
ANT/USD,["Binance",,
ANTX/USD,["Synthetic"],Antimatter,US Dollar
ANY/USD,["Binance"],Anyswap,US Dollar
AOAR/USD,["Synthetic"],Aurora,US Dollar
APE/USD,["Binance",,
API3/USD,["Binance",,
APIS/USD,["Synthetic"],APIS,US Dollar
